ó^Ç¶ÇΩèdóvìx,0.320000,0.380000,0.240000,0.320000,0.160000,0.280000,0.080000,0.220000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
1,0.333333, 0.354167,0.333333, 0.354167,0.166667, 0.194444,0.097222, 0.166667,0.138889
2,0.330357, 0.389881,0.252232, 0.330357,0.165179, 0.218750,0.061012, 0.252232,0.382440
3,0.292857, 0.342857,0.242857, 0.292857,0.171429, 0.242857,0.171429, 0.242857,0.242857
4,0.257813, 0.320313,0.247396, 0.307813,0.247396, 0.307812,0.064063, 0.247396,0.366667
5,0.322476, 0.355288,0.271474, 0.322476,0.177644, 0.271474,0.118429, 0.160737,0.219952
6,0.305634, 0.347301,0.249817, 0.305634,0.173650, 0.261722,0.106425, 0.249817,0.328947
7,0.422390, 0.436813,0.218407, 0.245192,0.218407, 0.236264,0.081731, 0.140797,0.118132
8,0.422222, 0.447222,0.211111, 0.227778,0.183333, 0.211111,0.113889, 0.183333,0.138889
9,0.353979, 0.405261,0.202631, 0.306360,0.153180, 0.353979,0.076590, 0.148019,0.427239
10,0.311786, 0.355264,0.268485, 0.311786,0.177632, 0.268485,0.103929, 0.202632,0.276336
11,0.275000, 0.316667,0.225000, 0.275000,0.275000, 0.316667,0.091667, 0.225000,0.266667
12,0.282353, 0.326471,0.326471, 0.351471,0.175735, 0.282353,0.108824, 0.146324,0.213235
13,0.296703, 0.310989,0.271062, 0.296703,0.296703, 0.314560,0.077747, 0.135531,0.115568
14,0.292857, 0.304762,0.292857, 0.304762,0.276190, 0.292857,0.097619, 0.138095,0.080952
15,0.314021, 0.362434,0.276984, 0.314021,0.181217, 0.276984,0.092328, 0.182011,0.270899
16,0.311706, 0.365873,0.239484, 0.311706,0.182937, 0.257341,0.091468, 0.239484,0.348810
17,0.275000, 0.316667,0.225000, 0.275000,0.275000, 0.316667,0.091667, 0.225000,0.266667
18,0.313235, 0.346569,0.269935, 0.313235,0.173284, 0.269935,0.115523, 0.198284,0.256046
19,0.410716, 0.448595,0.224297, 0.272288,0.136144, 0.214617,0.087985, 0.205358,0.281716
20,0.278846, 0.316346,0.221154, 0.278846,0.278846, 0.325721,0.079087, 0.221154,0.284135
21,0.317997, 0.349743,0.274697, 0.317997,0.174872, 0.274697,0.105999, 0.183999,0.252871
22,0.311786, 0.355264,0.268485, 0.311786,0.177632, 0.268485,0.103929, 0.202632,0.276336
23,0.324278, 0.359992,0.276824, 0.324278,0.179996, 0.276824,0.076440, 0.181370,0.284926
24,0.311786, 0.355264,0.268485, 0.311786,0.177632, 0.268485,0.103929, 0.202632,0.276336
25,0.299107, 0.316964,0.299107, 0.320536,0.267857, 0.299107,0.063393, 0.133929,0.141071
26,0.325615, 0.357361,0.283161, 0.325615,0.178681, 0.283161,0.085596, 0.160811,0.253896
27,0.313235, 0.346569,0.269935, 0.313235,0.173284, 0.269935,0.115523, 0.198284,0.256046
28,0.430769, 0.464103,0.215385, 0.240385,0.176923, 0.215385,0.080128, 0.176923,0.193590
29,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
30,0.348485, 0.369318,0.318182, 0.348485,0.174242, 0.195076,0.087121, 0.159091,0.143939
31,0.276190, 0.292857,0.292857, 0.304762,0.292857, 0.304762,0.097619, 0.138095,0.080952
32,0.275000, 0.306250,0.225000, 0.275000,0.275000, 0.316667,0.102083, 0.225000,0.245833
33,0.313235, 0.346569,0.269935, 0.313235,0.173284, 0.269935,0.115523, 0.198284,0.256046
34,0.285714, 0.285714,0.285714, 0.285714,0.285714, 0.285714,0.142857, 0.142857,-0.000000
35,0.289024, 0.316463,0.316463, 0.366463,0.183232, 0.289024,0.096341, 0.142988,0.229878
36,0.333333, 0.364583,0.333333, 0.364583,0.166667, 0.216667,0.054167, 0.166667,0.225000
37,0.315682, 0.364069,0.271174, 0.315682,0.182034, 0.271174,0.078920, 0.201265,0.304379
38,0.329004, 0.376623,0.188312, 0.283550,0.141775, 0.329004,0.141775, 0.209957,0.398268
39,0.322476, 0.355288,0.271474, 0.322476,0.177644, 0.271474,0.118429, 0.160737,0.219952
40,0.425397, 0.447619,0.223810, 0.265079,0.132540, 0.212698,0.132540, 0.160317,0.171429
41,0.333333, 0.354167,0.333333, 0.347222,0.166667, 0.180556,0.118056, 0.166667,0.097222
42,0.313235, 0.346569,0.269935, 0.313235,0.173284, 0.269935,0.115523, 0.198284,0.256046
43,0.343137, 0.357026,0.343137, 0.357026,0.156863, 0.171569,0.114379, 0.156863,0.084967
44,0.348485, 0.365152,0.348485, 0.369318,0.151515, 0.174242,0.091288, 0.151515,0.120455
45,0.304762, 0.338095,0.263095, 0.304762,0.169048, 0.263095,0.152381, 0.204762,0.221429
46,0.324675, 0.367532,0.256494, 0.324675,0.162338, 0.215909,0.091883, 0.256494,0.329221
47,0.274697, 0.317997,0.317997, 0.349743,0.174872, 0.274697,0.105999, 0.183999,0.252871
48,0.305138, 0.357519,0.240789, 0.305138,0.178759, 0.252694,0.119173, 0.240789,0.312281
49,0.358289, 0.365642,0.346925, 0.358289,0.179144, 0.186497,0.089572, 0.115642,0.052139
50,0.317997, 0.349743,0.274697, 0.317997,0.174872, 0.274697,0.105999, 0.183999,0.252871
51,0.333333, 0.347222,0.333333, 0.354167,0.166667, 0.180556,0.118056, 0.166667,0.097222
52,0.322594, 0.358308,0.278086, 0.322594,0.179154, 0.278086,0.080649, 0.180528,0.279033
53,0.292857, 0.304762,0.276190, 0.292857,0.292857, 0.304762,0.097619, 0.138095,0.080952
54,0.313235, 0.346569,0.269935, 0.313235,0.173284, 0.269935,0.115523, 0.198284,0.256046
55,0.325758, 0.340909,0.340909, 0.361742,0.170455, 0.198232,0.099116, 0.162879,0.127525
56,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
57,0.400000, 0.425000,0.200000, 0.225000,0.200000, 0.233333,0.116667, 0.200000,0.166667
58,0.400000, 0.425000,0.200000, 0.225000,0.200000, 0.233333,0.116667, 0.200000,0.166667
59,0.358456, 0.373162,0.346737, 0.358456,0.179228, 0.201287,0.067096, 0.115579,0.096967
60,0.268485, 0.311786,0.311786, 0.355264,0.177632, 0.268485,0.103929, 0.202632,0.276336
61,0.302521, 0.350140,0.273109, 0.302521,0.175070, 0.273109,0.136555, 0.186975,0.225490
62,0.437912, 0.471245,0.235623, 0.271795,0.135897, 0.218956,0.072985, 0.155586,0.235165
63,0.315093, 0.363170,0.243946, 0.315093,0.181585, 0.252875,0.084292, 0.243946,0.350168
64,0.313235, 0.346569,0.269935, 0.313235,0.173284, 0.269935,0.115523, 0.198284,0.256046
65,0.296703, 0.310989,0.271062, 0.296703,0.296703, 0.314560,0.077747, 0.135531,0.115568
66,0.441880, 0.475214,0.237607, 0.275119,0.137559, 0.220940,0.073647, 0.138034,0.218613
67,0.314021, 0.362434,0.276984, 0.314021,0.181217, 0.276984,0.092328, 0.182011,0.270899
68,0.250000, 0.312500,0.250000, 0.291667,0.250000, 0.291667,0.104167, 0.250000,0.291667
69,0.320668, 0.372139,0.186069, 0.255085,0.240800, 0.320668,0.063771, 0.240800,0.377383
70,0.273109, 0.302521,0.302521, 0.350140,0.175070, 0.273109,0.136555, 0.186975,0.225490
71,0.434778, 0.464408,0.232204, 0.268524,0.134262, 0.217389,0.089508, 0.158927,0.218496
72,0.268485, 0.311786,0.311786, 0.355264,0.177632, 0.268485,0.103929, 0.202632,0.276336
73,0.276984, 0.314021,0.314021, 0.362434,0.181217, 0.276984,0.092328, 0.182011,0.270899
74,0.333333, 0.354167,0.333333, 0.347222,0.166667, 0.180556,0.118056, 0.166667,0.097222
75,0.298115, 0.339782,0.255456, 0.298115,0.169891, 0.255456,0.127728, 0.255456,0.297619
76,0.357090, 0.406003,0.203001, 0.293911,0.146955, 0.357090,0.082819, 0.153131,0.420269
77,0.317708, 0.348958,0.348958, 0.376736,0.174479, 0.205729,0.068576, 0.158854,0.180556
78,0.324675, 0.378247,0.256494, 0.324675,0.162338, 0.209957,0.087121, 0.256494,0.338745
